Quality	#1 ID	#2 ID	#1 Sentence Length	#2 Sentence Length	#1 Tree Size	#2 Tree Size	#1 Tree Depth	#2 Tree Depth	APTED
1	702876	702977	19	20	55	58	9	9	40.0
0	2108705	2108831	17	22	52	68	11	11	44.0
1	1330381	1330521	21	22	62	61	11	9	39.0
0	3344667	3344648	29	20	80	55	10	11	41.0
1	1236820	1236712	24	21	69	58	12	8	42.0
1	738533	737951	19	27	52	74	8	9	28.0
0	264589	264502	19	19	54	49	8	7	44.0
1	579975	579810	12	12	33	31	7	6	14.0
0	3114205	3114194	20	18	55	49	9	10	33.0
1	1355540	1355592	18	15	48	37	10	7	17.0
0	222621	222514	21	31	60	90	9	12	40.0
0	3131772	3131625	20	28	59	82	10	10	24.0
0	58747	58516	14	17	37	47	6	7	33.0
1	1464126	1464107	17	22	48	60	12	12	19.0
1	771416	771467	25	29	73	82	15	14	44.0
0	142746	142671	18	23	51	64	9	12	37.0
0	1286053	1286069	15	22	41	60	8	9	43.0
0	1563874	1563853	28	22	79	61	16	13	35.0
0	2029631	2029565	21	25	63	74	14	11	31.0
1	2150265	2150184	29	33	78	88	11	11	17.0
0	2044342	2044457	29	21	86	60	12	12	31.0
1	1284150	1284173	29	27	76	69	8	8	29.0
1	3270389	3270327	29	29	74	76	11	9	40.0
1	2294059	2294112	12	17	37	50	9	11	46.0
0	1713015	1712982	17	24	52	72	8	8	32.0
0	487993	487952	26	29	71	78	9	12	33.0
1	1321918	1321644	25	25	67	69	10	13	27.0
1	1239046	1239031	22	16	60	47	11	10	41.0
1	2907515	2907224	23	20	65	56	11	11	19.0
0	2791650	2791604	22	19	57	53	7	7	41.0
0	2559762	2559517	24	17	64	46	9	6	39.0
1	105493	105432	25	30	65	79	9	9	58.0
1	1989515	1989458	17	21	50	61	13	14	35.0
0	1783137	1782659	13	19	36	55	9	10	28.0
1	14663	14617	15	12	41	30	8	5	26.0
1	1692902	1692851	16	18	49	53	7	11	44.0
0	1480561	1480670	14	16	43	45	8	9	41.0
1	3089434	3089441	17	17	50	53	13	14	33.0
1	2538111	2538021	21	19	56	46	7	6	16.0
1	1341941	1341915	14	10	45	30	14	9	25.0
1	374967	375017	31	33	87	94	15	18	41.0
0	2321401	2321455	13	13	39	40	11	10	18.0
1	1356545	1356676	24	18	73	55	15	14	62.0
0	2198036	2198094	13	11	36	30	6	6	18.0
1	921159	921272	20	26	55	72	10	9	44.0
1	740726	739960	25	27	68	75	14	15	23.0
0	284798	284937	30	20	83	56	10	8	42.0
1	1041293	1041421	15	21	47	63	13	15	33.0
1	2630545	2630577	20	27	57	71	10	10	29.0
1	1014977	1014962	23	27	63	74	12	13	15.0
1	3039165	3039036	22	23	69	69	19	15	47.0
1	2674986	2674800	17	14	50	39	11	9	29.0
1	2193346	2193362	26	29	81	89	21	22	21.0
1	149798	149596	20	15	53	41	7	7	29.0
0	1490811	1490840	24	20	69	57	9	11	46.0
1	426112	426210	24	27	69	80	13	19	47.0
1	213302	213135	25	26	69	72	13	13	22.0
0	1963350	1963106	14	20	38	55	8	9	34.0
1	3035675	3035707	20	13	58	37	12	7	33.0
1	622300	622384	29	28	80	82	12	14	40.0
0	962311	962987	20	31	57	88	11	16	47.0
0	2506257	2506206	16	28	43	74	8	9	45.0
0	221038	221083	12	15	35	41	11	8	23.0
1	1097577	1097664	26	28	78	80	12	11	39.0
0	218017	218035	22	25	64	71	14	13	47.0
0	2277501	2277502	18	30	49	78	7	11	47.0
1	423245	423228	25	19	68	51	11	10	44.0
1	1336931	1336883	17	13	52	40	13	9	41.0
1	2208366	2208492	25	26	70	79	12	12	56.0
1	2405153	2405189	13	17	36	47	9	9	28.0
0	3334905	3334946	37	27	105	75	17	9	51.0
1	1641162	1641062	28	25	77	69	13	12	24.0
1	244062	243899	33	30	91	80	10	10	39.0
1	1439663	1439808	18	19	50	54	9	9	56.0
1	2070455	2070493	12	13	34	36	6	6	16.0
1	1996069	1996101	24	23	68	66	14	14	30.0
1	23807	23792	21	26	62	77	10	18	51.0
1	3147370	3147525	21	27	58	73	11	13	17.0
1	1211287	1210972	30	30	87	87	15	15	18.0
1	3300040	3299992	30	34	84	94	16	16	14.0
1	2512758	2512692	29	25	80	71	11	11	59.0
0	3183829	3183863	16	21	46	58	9	13	50.0
1	3257588	3257537	27	23	73	64	7	8	21.0
0	524136	524119	16	20	46	57	8	7	32.0
0	1321343	1321577	31	26	82	69	9	9	59.0
1	2560856	2560808	15	16	44	46	8	10	19.0
1	2728434	2728420	26	27	76	82	12	15	50.0
1	3277643	3277659	21	25	56	67	9	10	17.0
1	2621134	2621174	25	24	69	68	12	12	23.0
1	2529661	2529575	12	16	34	45	8	9	16.0
0	953744	953727	22	17	57	45	7	7	24.0
0	1268733	1268445	15	18	41	48	8	7	34.0
0	969512	969295	22	19	58	49	7	7	28.0
1	304482	304430	23	24	62	65	10	10	20.0
0	472952	472535	27	22	71	60	7	7	21.0
0	3119349	3119343	17	23	52	73	9	15	45.0
1	224868	225233	17	19	46	54	7	8	32.0
0	2678208	2678191	21	17	62	48	15	10	39.0
0	1177915	1178039	17	14	52	43	14	13	24.0
1	129193	129302	31	28	90	80	19	15	31.0
1	2843951	2843930	19	23	52	63	7	8	45.0
